Event,Value,Key,KeyValue
ConnectionCipher,26625,ConnectionCipher_26625,CALG_RC4
ConnectionDirection,0,ConnectionDirection_0,Outbound
ConnectionDirection,1,ConnectionDirection_1,Inbound
ConnectionDirection,2,ConnectionDirection_2,Neither
ConnectionDirection,3,ConnectionDirection_3,Both
ConnectionExchange,19457,ConnectionExchange_19457,CALG_SSL3_MASTER
ConnectionExchange,19458,ConnectionExchange_19458,CALG_SCHANNEL_MASTER_HASH
ConnectionExchange,19459,ConnectionExchange_19459,CALG_SCHANNEL_MAC_KEY
ConnectionExchange,19460,ConnectionExchange_19460,CALG_PCT1_MASTER
ConnectionExchange,19461,ConnectionExchange_19461,CALG_SSL2_MASTER
ConnectionExchange,19462,ConnectionExchange_19462,CALG_TLS1_MASTER
ConnectionExchange,19463,ConnectionExchange_19463,CALG_SCHANNEL_ENC_KEY
ConnectionExchange,26113,ConnectionExchange_26113,CALG_DES
ConnectionExchange,26114,ConnectionExchange_26114,CALG_RC2
ConnectionExchange,26115,ConnectionExchange_26115,CALG_3DES
ConnectionExchange,26116,ConnectionExchange_26116,CALG_DESX
ConnectionExchange,26121,ConnectionExchange_26121,CALG_3DES_112
ConnectionExchange,26122,ConnectionExchange_26122,CALG_SKIPJACK
ConnectionExchange,26123,ConnectionExchange_26123,CALG_TEK
ConnectionExchange,26124,ConnectionExchange_26124,CALG_CYLINK_MEK
ConnectionExchange,26125,ConnectionExchange_26125,CALG_RC5
ConnectionExchange,26126,ConnectionExchange_26126,CALG_AES_128
ConnectionExchange,26127,ConnectionExchange_26127,CALG_AES_192
ConnectionExchange,26128,ConnectionExchange_26128,CALG_AES_256
ConnectionExchange,26129,ConnectionExchange_26129,CALG_AES
ConnectionExchange,26625,ConnectionExchange_26625,CALG_RC4
ConnectionExchange,26626,ConnectionExchange_26626,CALG_SEAL
ConnectionExchange,32769,ConnectionExchange_32769,CALG_MD2
ConnectionExchange,32770,ConnectionExchange_32770,CALG_MD4
ConnectionExchange,32771,ConnectionExchange_32771,CALG_MD5
ConnectionExchange,32772,ConnectionExchange_32772,CALG_SHA
ConnectionExchange,32772,ConnectionExchange_32772,CALG_SHA1
ConnectionExchange,32773,ConnectionExchange_32773,CALG_MAC
ConnectionExchange,32776,ConnectionExchange_32776,CALG_SSL3_SHAMD5
ConnectionExchange,32777,ConnectionExchange_32777,CALG_HMAC
ConnectionExchange,32778,ConnectionExchange_32778,CALG_TLS1PRF
ConnectionExchange,32779,ConnectionExchange_32779,CALG_HASH_REPLACE_OWF
ConnectionExchange,32780,ConnectionExchange_32780,CALG_SHA_256
ConnectionExchange,32781,ConnectionExchange_32781,CALG_SHA_384
ConnectionExchange,32782,ConnectionExchange_32782,CALG_SHA_512
ConnectionExchange,40961,ConnectionExchange_40961,CALG_ECMQV
ConnectionExchange,40963,ConnectionExchange_40963,CALG_HUGHES_MD5
ConnectionExchange,41984,ConnectionExchange_41984,CALG_RSA_KEYX
ConnectionExchange,4294967294,ConnectionExchange_4294967294,CALG_OID_INFO_PARAMETERS
ConnectionExchange,4294967295,ConnectionExchange_4294967295,CALG_OID_INFO_CNG_ONLY
ConnectionExchange,43521,ConnectionExchange_43521,CALG_DH_SF
ConnectionExchange,43522,ConnectionExchange_43522,CALG_DH_EPHEM
ConnectionExchange,43523,ConnectionExchange_43523,CALG_AGREEDKEY_ANY
ConnectionExchange,43524,ConnectionExchange_43524,CALG_KEA_KEYX
ConnectionExchange,43525,ConnectionExchange_43525,CALG_ECDH
ConnectionExchange,44550,ConnectionExchange_44550,CALG_ECDH_EPHEM
ConnectionExchange,8192,ConnectionExchange_8192,CALG_NO_SIGN
ConnectionExchange,8704,ConnectionExchange_8704,CALG_DSS_SIGN
ConnectionExchange,8707,ConnectionExchange_8707,CALG_ECDSA
ConnectionExchange,9216,ConnectionExchange_9216,CALG_RSA_SIGN
ConnectionFlags,1,ConnectionFlags_1,Event's socket attributes includes RawSocket only
ConnectionFlags,10,ConnectionFlags_10,Event's socket attributes includes PromiscuousModeSioRcvall_Mcast and PromiscuousModeSioRcvall
ConnectionFlags,11,ConnectionFlags_11,Event's socket attributes includes RawSocket and PromiscuousModeSioRcvall_Mcast and PromiscuousModeSioRcvall
ConnectionFlags,12,ConnectionFlags_12,Event's socket attributes includes PromiscuousModeSioRcvall_Mcast and PromiscuousModeSioRcvall_IGMPCast
ConnectionFlags,13,ConnectionFlags_13,Event's socket attributes includes RawSocket and PromiscuousModeSioRcvall_Mcast and PromiscuousModeSioRcvall_IGMPCast
ConnectionFlags,14,ConnectionFlags_14,Event's socket attributes includes PromiscuousModeSioRcvall_Mcast and PromiscuousModeSioRcvall_IGMPCast and PromiscuousModeSioRcvall
ConnectionFlags,15,ConnectionFlags_15,Event's socket attributes includes RawSocket and PromiscuousModeSioRcvall_Mcast and PromiscuousModeSioRcvall_IGMPCast and PromiscuousModeSioRcvall
ConnectionFlags,2,ConnectionFlags_2,Event's socket attributes includes PromiscuousModeSioRcvall only
ConnectionFlags,3,ConnectionFlags_3,Event's socket attributes includes RawSocket and PromiscuousModeSioRcvall
ConnectionFlags,4,ConnectionFlags_4,Event's socket attributes includes PromiscuousModeSioRcvall_IGMPCast only
ConnectionFlags,5,ConnectionFlags_5,Event's socket attributes includes PromiscuousModeSioRcvall_IGMPCast and RawSocket
ConnectionFlags,6,ConnectionFlags_6,Event's socket attributes includes PromiscuousModeSioRcvall_IGMPCast and PromiscuousModeSioRcvall
ConnectionFlags,7,ConnectionFlags_7,Event's socket attributes includes RawSocket and PromiscuousModeSioRcvall_IGMPCast and PromiscuousModeSioRcvall
ConnectionFlags,8,ConnectionFlags_8,Event's socket attributes includes PromiscuousModeSioRcvall_Mcast only
