FileName
"ipconfig.exe"
"route.exe"
"arp.exe"
"net.exe"
"cmd.exe"
"nltest.exe"
"mklink.exe"
"xxmklink.exe"
"schtasks.exe"
"ping.exe"
"at.exe"
"whoami.exe"
"tasklist.exe"
"taskkill.exe"
"dsquery.exe"
"cipher.exe"
"netstat.exe"
"dsget.exe"
"quser.exe"
"sc.exe"
"findstr.exe"
"hostname.exe"
"systeminfo.exe"
"auditpol.exe"
"wmic.exe"
"nslookup.exe"
"makecab.exe"
